image1,image2,image3,sketch
1344.jpg,1204.jpg,1955.jpg,D3-2-1955-100100.png
1527.jpg,1955.jpg,1237.jpg,D3-2-1955-111111.png
100.jpg,106.jpg,1195.jpg,D3-3-100-100000.png
1527.jpg,354.jpg,100.jpg,D3-3-100-100110.png
1195.jpg,1237.jpg,100.jpg,D3-3-100-111111.png
270.jpg,1501.jpg,106.jpg,D3-3-106-010100.png
1344.jpg,106.jpg,100.jpg,D3-3-106-101010.png
1501.jpg,106.jpg,242.jpg,D3-3-106-111110.png
1237.jpg,242.jpg,270.jpg,D3-3-242-000010.png
242.jpg,1955.jpg,1344.jpg,D3-3-242-100010.png
883.jpg,242.jpg,100.jpg,D3-3-242-111111.png
270.jpg,1204.jpg,1041.jpg,D3-3-270-001000.png
270.jpg,1527.jpg,354.jpg,D3-3-270-110100.png
106.jpg,270.jpg,1955.jpg,D3-3-270-111110.png
354.jpg,106.jpg,242.jpg,D3-3-354-010010.png
354.jpg,1527.jpg,1237.jpg,D3-3-354-011100.png
1955.jpg,1204.jpg,354.jpg,D3-3-354-011111.png
1501.jpg,883.jpg,1041.jpg,D3-3-883-100000.png
1195.jpg,883.jpg,242.jpg,D3-3-883-100001.png
1195.jpg,883.jpg,100.jpg,D3-3-883-111111.png
